Age_at_enrollment,Admission_grade,pass_rate_sem1,pass_rate_sem2,finance_risk,drop_score,risk_level,shap_feat,shap_val
20,127.3,0.0,0.0,0,0.5204392719497994,Yellow,"[""num__Curricular_units_2nd_sem_enrolled"", ""num__pass_rate_sem2"", ""num__Curricular_units_1st_sem_enrolled"", ""num__Curricular_units_2nd_sem_approved"", ""num__Curricular_units_1st_sem_approved""]","[-1.604406247125456, 1.43842794418387, -1.3209484918956278, 0.9892492439322105, 0.9654517828552774]"
19,142.5,1.0,1.0,1,0.24620816120533523,No-risk,"[""bin__finance_risk_1"", ""cat__Application_mode_15"", ""num__pass_rate_sem2"", ""num__Curricular_units_2nd_sem_approved"", ""cat__Fathers_qualification_3""]","[1.3171779098034833, -1.0096240087469701, -0.8711820611611606, -0.469103449825348, -0.43626709976270756]"
19,124.8,0.0,0.0,1,0.9939935580241741,Red,"[""num__pass_rate_sem2"", ""bin__finance_risk_1"", ""num__Curricular_units_2nd_sem_approved"", ""num__Curricular_units_1st_sem_approved"", ""num__Curricular_units_1st_sem_grade""]","[1.43842794418387, 1.3171779098034833, 0.9892492439322105, 0.9654517828552774, -0.5926392311726058]"
20,119.6,1.0,0.8333333333333334,0,0.261539610735387,No-risk,"[""num__pass_rate_sem2"", ""cat__Course_9773"", ""num__Curricular_units_1st_sem_approved"", ""bin__finance_risk_1"", ""num__Curricular_units_2nd_sem_approved""]","[-0.4862470602703223, 0.4229539019535702, -0.39115493778445665, -0.30896765785513813, -0.2260446675324216]"
45,141.5,0.8333333333333334,1.0,0,0.12313665242387799,No-risk,"[""num__pass_rate_sem2"", ""cat__Course_8014"", ""num__Age_at_enrollment"", ""num__Curricular_units_2nd_sem_approved"", ""bin__finance_risk_1""]","[-0.8711820611611606, -0.6734548248977921, 0.503780705076227, -0.469103449825348, -0.30896765785513813]"
50,114.8,1.0,1.0,1,0.506943940539376,Yellow,"[""bin__finance_risk_1"", ""num__pass_rate_sem2"", ""num__Age_at_enrollment"", ""num__Curricular_units_2nd_sem_without_evaluations"", ""cat__Course_9991""]","[1.3171779098034833, -0.8711820611611606, 0.617964908402661, -0.5915142699051543, 0.44250946148878934]"
18,128.4,1.0,1.0,0,0.019781912653725118,No-risk,"[""num__Curricular_units_2nd_sem_approved"", ""num__pass_rate_sem2"", ""num__Curricular_units_1st_sem_approved"", ""num__Curricular_units_2nd_sem_enrolled"", ""cat__Course_9500""]","[-0.9552210144112008, -0.8711820611611606, -0.6172560578910791, 0.5312426675174139, -0.4613765001806311]"
22,113.1,0.0,0.0,1,0.9959328652785792,Red,"[""num__pass_rate_sem2"", ""bin__finance_risk_1"", ""num__Curricular_units_2nd_sem_approved"", ""num__Curricular_units_1st_sem_approved"", ""num__Curricular_units_1st_sem_grade""]","[1.43842794418387, 1.3171779098034833, 0.9892492439322105, 0.9654517828552774, -0.5926392311726058]"
21,129.3,1.0,1.0,0,0.026025942895825493,No-risk,"[""num__pass_rate_sem2"", ""cat__Course_9238"", ""num__Curricular_units_2nd_sem_approved"", ""num__Curricular_units_1st_sem_approved"", ""bin__Scholarship_holder_1""]","[-0.8711820611611606, -0.6019999562254851, -0.469103449825348, -0.39115493778445665, -0.35996963060907333]"
18,123.0,0.8333333333333334,0.3333333333333333,1,0.7088580007745784,Red,"[""bin__finance_risk_1"", ""num__pass_rate_sem2"", ""cat__Course_9238"", ""num__Curricular_units_2nd_sem_approved"", ""num__Curricular_units_2nd_sem_evaluations""]","[1.3171779098034833, 0.668557942402193, -0.6019999562254851, 0.5031316793463577, -0.22342827130394213]"
